None,8
Clear,8
Scattered Clouds,6.5
Widespread Dust,6.3
Smoke,6.2
Blowing Sand,6.1
Fog,6
Unknown,6
Patches of Fog,6
Mist,6
Haze,6
Partly Cloudy,5.9
Heavy Fog,5.5
Overcast,5.5
Mostly Cloudy,5.2
Light Drizzle,5
Drizzle,4.8
Light Rain,4.5
Light Rain Showers,4.3
Light Thunderstorm,4.1
Rain,4
Rain Showers,3.8
Light Thunderstorms and Rain,3.5
Thunderstorm,3
Thunderstorms with Hail,2
Thunderstorms and Rain,2
Heavy Rain,1.5
Heavy Rain Showers,1.4
Heavy Thunderstorms and Rain,1
