Temp_M,CoordinatedLockrate,Tmura,Temp_H,Lockrate,Temp_A,DealDate,Visibility_M,precentColor,Visibility_H,Visibility_A,Humidity_A,date,SeaLevelPress_M,DewPoint_M,Humidity_M,Wind_H,SeaLevelPress_H,DewPoint_H,PrecentageRateChange,ConditionsScore,Humidity_H,CloudsScore,Events,Volume,Precip,Wind_A,Wind_M,DewPoint_A,Day,SeaLevelPress_A
14,"1,344.17","800,742,144",24,"1,344.17",19,21/12/2017,10,rise,10,10,50,2017/12/21,1018,5,22,11,1021,11,0.43%,8.0,68,0.0,5,"91,984,968",0.00,5,-,8,21,1019
12,"1,338.48","837,491,008",22,"1,338.48",17,20/12/2017,10,rise,10,10,50,2017/12/20,1017,3,25,10,1020,9,0.32%,8.0,67,0.0,5,"87,692,096",0.00,5,-,7,20,1018
